t_s,target_deg_s,velocity_deg_s,diag,config
0.050400470001477515,0,,,
0.10072263099937118,0,0.169,,
0.15092410299985204,0,-0.169,,
0.5014668600015284,0,0.253,,
0.5518250400018587,0,-0.338,FB0000021D000000,5014000000020100
0.6021669850015314,0,0.0,FB0000021D000000,5014000000020100
0.6524502249994839,0,0.254,FB0000021D000000,5014000000020100
0.7027441350001027,0,-0.254,FB0000021D000000,5014000000020100
0.7530577510005969,0,0.084,FB0000021D000000,5014000000020100
0.803408801999467,0,-0.253,FB0000021D000000,5014000000020100
0.8537017140006355,0,0.0,FB0000021D000000,5014000000020100
0.9040468300008797,0,0.253,FB0000021D000000,5014000000020100
0.9544102220024797,0,-0.253,FB0000021D000000,5014000000020100
1.0047194110011333,0,0.253,FB0000021D000000,5014000000020100
1.0550155960008851,0,-0.084,FB0000021D000000,5014000000020100
1.1053806050003914,0,0.084,FB0000021D000000,5014000000020100
1.1556395629995677,0,0.085,FB0000021D000000,5014000000020100
1.2058954720014299,0,-0.169,FB0000021D000000,5014000000020100
1.2562139450019458,0,0.084,FB0000021D000000,5014000000020100
1.3065769919994636,60,-0.084,FB0000021D000000,5014000000020100
2.3607045839999046,60,0.254,FB0000021D000002,5014000000020100
2.41096969100181,60,-0.004,FB0000021D000002,5014000000020100
2.461178896999627,60,-0.169,FB0000021D000002,5014000000020100
2.511419629001466,60,0.169,FB0000021D000002,5014000000020100
2.5616221919990494,60,0.253,FB0000021D000002,5014000000020100
2.611965586002043,60,-0.338,FB0000021D000002,5014000000020100
2.662239858000248,60,0.085,FB0000021D000002,5014000000020100
2.7124897339999734,60,0.253,FB0000021D000002,5014000000020100
2.762797870000213,60,0.085,FB0000021D000002,5014000000020100
2.8131062489992473,60,0.084,FB0000021D000002,5014000000020100
2.863438979999046,60,-0.338,FB0000021D000002,5014000000020100
2.9136877870005264,60,0.169,FB0000021D000002,5014000000020100
2.963892957999633,60,-0.084,FB0000021D000002,5014000000020100
3.0141115530022944,60,0.254,FB0000021D000002,5014000000020100
3.0643304740005988,60,-0.084,FB0000021D000002,5014000000020100
3.114658323000185,60,0.0,FB0000021D000002,5014000000020100
3.1649519890015654,60,-0.085,FB0000021D000002,5014000000020100
3.2152073690012912,60,0.169,FB0000021D000002,5014000000020100
3.2654640520013345,60,0.0,FB0000021D000002,5014000000020100
3.315667336999468,60,0.169,FB0000021D000002,5014000000020100
3.3658687440001813,60,-0.169,FB0000021D000002,5014000000020100
3.416109133999271,60,0.0,FB0000021D000002,5014000000020100
3.466306344002078,60,-0.084,FB0000021D000002,5014000000020100
3.5165643250002177,60,0.0,FB0000021D000002,5014000000020100
3.566755751002347,60,0.084,FB0000021D000002,5014000000020100
3.6170987590012373,60,0.0,FB0000021D000002,5014000000020100
3.66732434000005,60,0.0,FB0000021D000002,5014000000020100
3.7175603130017407,60,-0.084,FB0000021D000002,5014000000020100
3.767797079999582,60,0.169,FB0000021D000002,5014000000020100
3.8181296959992324,60,-0.169,FB0000021D000002,5014000000020100
3.8684917489990767,60,0.0,FB0000021D000002,5014000000020100
3.918844061001437,60,0.084,FB0000021D000002,5014000000020100
3.969177712999226,60,-0.084,FB0000021D000002,5014000000020100
4.019551699999283,60,0.084,FB0000021D000002,5014000000020100
4.069887041001493,60,0.084,FB0000021D000002,5014000000020100
4.120236904000194,60,0.254,FB0000021D000002,5014000000020100
4.170566290002171,60,-0.676,FB0000021D000002,5014000000020100
4.2208483060021535,60,0.423,FB0000021D000002,5014000000020100
4.271136177001608,60,-0.169,FB0000021D000002,5014000000020100
4.3214117089992214,0,0.0,FB0000021D000002,5014000000020100
4.3716779759997735,0,-0.085,FB0000021D000002,5014000000020100
4.421923963000154,0,0.085,FB0000021D000002,5014000000020100
4.472157439999137,0,0.0,FB0000021D000002,5014000000020100
4.522353881999152,0,0.084,FB0000021D000002,5014000000020100
4.5725351399996725,0,-0.084,FB0000021D000002,5014000000020100
4.62282138700175,0,0.0,FB0000021D000002,5014000000020100
4.67304864900143,0,0.0,FB0000021D000002,5014000000020100
4.723350803000358,0,0.169,FB0000021D000002,5014000000020100
4.773597813000379,0,0.084,FB0000021D000002,5014000000020100
4.823809624002024,0,-0.423,FB0000021D000002,5014000000020100
4.874022378000518,0,0.254,FB0000021D000002,5014000000020100
4.9242723700008355,0,0.0,FB0000021D000002,5014000000020100
4.974506686001405,0,-0.084,FB0000021D000002,5014000000020100
5.024709412002267,0,0.338,FB0000021D000002,5014000000020100
5.07494086099905,0,-0.423,FB0000021D000002,5014000000020100
5.1252724709993345,0,0.169,FB0000021D000002,5014000000020100
5.175559675000841,0,-0.084,FB0000021D000002,5014000000020100
5.225811544001772,0,0.084,FB0000021D000002,5014000000020100
5.2760644080008205,0,-0.169,FB0000021D000002,5014000000020100
5.326301155000692,0,0.254,FB0000021D000002,5014000000020100
5.3765674749993195,0,-0.169,FB0000021D000002,5014000000020100
5.426878659000067,0,-0.169,FB0000021D000002,5014000000020100
5.477143578002142,0,0.423,FB0000021D000002,5014000000020100
5.527365820998966,0,-0.084,FB0000021D000002,5014000000020100
5.5775801010022406,0,-0.338,FB0000021D000002,5014000000020100
5.627919474001828,0,0.169,FB0000021D000002,5014000000020100
5.678164592001849,0,-0.169,FB0000021D000002,5014000000020100
5.728447772002255,0,0.169,FB0000021D000002,5014000000020100
5.778791000000638,0,-0.169,FB0000021D000002,5014000000020100
5.82904125999994,0,0.084,FB0000021D000002,5014000000020100
5.879315326001233,0,0.169,FB0000021D000002,5014000000020100
5.929536055002245,0,-0.084,FB0000021D000002,5014000000020100
5.97974319000059,0,0.084,FB0000021D000002,5014000000020100
6.029995716002304,0,-0.084,FB0000021D000002,5014000000020100
6.0802319230024295,0,0.084,FB0000021D000002,5014000000020100
6.130566015999648,0,-0.084,FB0000021D000002,5014000000020100
6.180861745000584,0,0.084,FB0000021D000002,5014000000020100
6.231084888000623,0,0.169,FB0000021D000002,5014000000020100
6.281455153999559,0,-0.338,FB0000021D000002,5014000000020100
6.331807048001792,-60,0.0,FB0000021D000002,5014000000020100
6.382142357000703,-60,0.169,FB0000021D000002,5014000000020100
6.432453149001958,-60,-0.169,FB0000021D000002,5014000000020100
6.482716136000818,-60,-0.084,FB0000021D000002,5014000000020100
6.533040247999452,-60,0.254,FB0000021D000002,5014000000020100
6.583379722000245,-60,-0.254,FB0000021D000002,5014000000020100
6.633692952000274,-60,0.0,FB0000021D000002,5014000000020100
6.683945720000338,-60,-0.338,FB0000021D000002,5014000000020100
6.7342083799994725,-60,-0.338,FB0000021D000002,5014000000020100
6.7844523710009526,-60,-0.676,FB0000021D000002,5014000000020100
6.834654566999234,-60,-2.535,FB0000021D000002,5014000000020100
6.884970428000088,-60,-7.944,FB0000021D000002,5014000000020100
6.935240724000323,-60,-16.818,FB0000021D000002,5014000000020100
6.985612250002305,-60,-21.043,FB0000021D000002,5014000000020100
7.035939204000897,-60,-20.198,FB0000021D000002,5014000000020100
7.086286976998963,-60,-14.029,FB0000021D000002,5014000000020100
7.136560163002287,-60,-7.775,FB0000021D000002,5014000000020100
7.186953753000125,-60,-2.704,FB0000021D000002,5014000000020100
7.237326473001303,-60,-0.93,FB0000021D000002,5014000000020100
